question,preprocessed_query,ground_truth,expected_document,retrieved_documents,retrieval_scores,generated_answer,faithfulness,answer_relevancy,context_precision,context_recall,hit_rate,preprocessing_time,embedding_time,vector_retrieval_time,llm_time,total_response_time
Is connecting personal USB drives to company laptops allowed?,connecting personal usb drives company laptops allowed,Connecting unauthorized personal USB drives or storage devices to company hardware is strictly prohibited.,IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf|TravelPolicy.pdf|WorkFromHomePolicy.pdf,0.5783|0.4286|0.3444|0.3365|0.3153,No,0.0,0.9,0.4,0.8,1.0,0.0097,0.0395,2.81,0.6544,3.5135
What constitutes confidential company data according to IT policy?,constitutes confidential company data according policy,"Confidential data includes customer PII, financial records, proprietary source code, and employee personal files.",IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf,0.6252|0.6067|0.4834|0.4805|0.468,"Confidential company data includes employee records, payroll information, customer information, financial reports, source code, and business strategies.",0.9,1.0,0.4,0.8,1.0,0.0111,0.1234,2.8679,0.5793,3.5817
What is the VPN requirement when connecting to public Wi-Fi?,vpn requirement connecting public wi fi,Employees must connect through the official company VPN whenever using public or untrusted Wi-Fi networks.,IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.4015|0.3474|0.1904|0.1868|0.1852,Never use public Wi-Fi without VPN protection,1.0,0.9,0.2,0.8,1.0,0.013,0.0423,2.7816,0.3915,3.2284
What are the rules regarding software installation on work computers?,rules regarding software installation work computers,Employees cannot install unapproved third-party software; all installations must be deployed via IT administrator tools.,IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf,0.457|0.4176|0.3991|0.3877|0.3833,"Only software approved by the IT department may be installed on company devices. Employees must not install pirated software, download cracked applications, or install browser extensions without approval. Software updates should not be postponed without a valid business reason.",1.0,0.9,0.4,0.8,1.0,0.0146,0.0545,2.8241,0.5357,3.4289
What is the clean desk policy requirement?,clean desk policy requirement,Sensitive documents and storage media must be locked away when workstations are unattended.,IT security policy.pdf,Dress_Code_Policy.pdf|WorkFromHomePolicy.pdf|Dress_Code_Policy.pdf|IT security policy.pdf|IT security policy.pdf,0.4041|0.3989|0.3978|0.3978|0.3977,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.0054,0.0297,2.7807,0.6058,3.4216
How should phishing emails be reported?,phishing emails reported,Phishing emails should be reported using the 'Report Phish' button in Outlook or forwarded to security@company.com.,IT security policy.pdf,IT security policy.pdf|IT security policy.pdf|IT security policy.pdf|IT security policy.pdf|IT security policy.pdf,0.5016|0.3796|0.2342|0.2222|0.1988,Phishing emails should be reported immediately to the IT Security Team.,0.5,0.9,0.2,0.6,1.0,0.0091,0.0309,2.7757,0.4462,3.2618
What is the penalty for sharing system login credentials?,penalty sharing system login credentials,Sharing login credentials is a zero-tolerance policy violation subject to immediate disciplinary action up to termination.,IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf,0.4268|0.3396|0.3107|0.2627|0.2593,Failure to follow these responsibilities may result in disciplinary action.,0.8,0.5,0.85,0.85,1.0,0.0109,0.0473,2.8992,0.6812,3.6386
What expense allowance is provided for domestic business travel daily meals?,expense allowance provided domestic business travel daily meals,Employees on domestic business travel receive a daily meal allowance of up to $50.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|EmployeeBenefits.pdf,0.7429|0.5023|0.4806|0.4426|0.4345,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99689, Requested 695. Please try again in 5m31.776s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.0,0.85,0.85,1.0,0.0098,0.0513,3.0878,0.2023,3.3513
Which flight class can employees book for domestic travel?,flight class employees book domestic travel,Economy class must be booked for all domestic flights under 6 hours in duration.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.5778|0.4909|0.4897|0.4584|0.4573,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99935, Requested 647. Please try again in 8m22.847999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0103,0.0498,2.7861,0.1981,3.0442
How far in advance must business travel be booked?,far advance business travel booked,Travel bookings must be completed at least 14 days prior to departure to secure optimal corporate rates.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.4899|0.4757|0.4583|0.4336|0.4241,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99931, Requested 668. Please try again in 8m37.535999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0088,0.0437,2.4939,0.1875,2.7339
What is the procedure for submitting travel expense claims?,procedure submitting travel expense claims,Expense claims along with original receipts must be submitted via the finance portal within 7 days of returning.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|EmployeeBenefits.pdf|TravelPolicy.pdf,0.6784|0.5026|0.473|0.4653|0.4514,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99927, Requested 685. Please try again in 8m48.767999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0105,0.0489,2.4812,0.2033,2.7439
Are hotel stays reimbursed during company business trips?,hotel stays reimbursed during company business trips,"Yes, hotel accommodation up to the designated corporate ceiling is fully reimbursed.",TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|EmployeeBenefits.pdf|TravelPolicy.pdf,0.6424|0.5911|0.5866|0.5459|0.5113,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99923, Requested 683. Please try again in 8m43.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0097,0.0424,2.5067,0.1804,2.7392
Can personal travel be combined with business travel?,personal travel combined business travel,Personal travel may be combined with business trips provided additional costs are borne entirely by the employee.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.5922|0.5607|0.5432|0.5325|0.5305,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99919, Requested 621. Please try again in 7m46.56s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0041,0.0124,2.4448,0.1963,2.6576
What is the cab allowance for travel to and from airports?,cab allowance travel airports,"Employees can claim actual rideshare or taxi costs between home, office, and airport with valid receipts.",TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.4455|0.4433|0.3511|0.3337|0.327,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99915, Requested 652. Please try again in 8m9.888s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0039,0.0224,2.4952,0.1851,2.7066
What is the approval matrix for international business travel?,approval matrix international business travel,"International travel requires approval from the Department Head, Vice President, and Finance Director.",TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.6361|0.4901|0.462|0.4315|0.4237,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99911, Requested 656. Please try again in 8m9.888s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0101,0.0507,2.4747,0.2056,2.7412
Are travel advances provided for business trips?,travel advances provided business trips,Employees can request a travel cash advance for official trips lasting longer than 3 days.,TravelPolicy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.5966|0.5831|0.5738|0.5708|0.5673,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99907, Requested 632. Please try again in 7m45.696s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0074,0.0339,2.5217,0.1964,2.7594
What health insurance coverage is provided to full-time employees?,health insurance coverage provided full time employees,Full-time employees receive comprehensive group health insurance coverage including inpatient and outpatient benefits.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf,0.6686|0.5416|0.5182|0.4942|0.4766,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99903, Requested 835. Please try again in 10m37.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0101,0.0491,2.5844,0.1958,2.8395
Are dependents covered under the company health insurance plan?,dependents covered under company health insurance plan,"Yes, legal spouse and up to two dependent children are covered under the company group health insurance policy.",EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf,0.5945|0.4326|0.4109|0.4036|0.3901,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99899, Requested 819. Please try again in 10m20.352s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0039,0.0253,2.5028,0.1861,2.7181
What is the gym and wellness reimbursement amount per year?,gym wellness reimbursement amount per year,Employees are eligible for a annual wellness reimbursement of up to $300 for gym memberships or fitness classes.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|TravelPolicy.pdf|TravelPolicy.pdf|EmployeeBenefits.pdf,0.4185|0.3072|0.2748|0.2745|0.2546,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99895, Requested 750. Please try again in 9m17.28s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0038,0.0252,2.5052,0.1747,2.7089
Does the company offer a retirement contribution matching scheme?,company offer retirement contribution matching scheme,The company matches employee 401(k) or Provident Fund contributions up to 5% of monthly base salary.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf,0.4782|0.3392|0.3318|0.3|0.299,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99891, Requested 862. Please try again in 10m50.592s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0059,0.0241,2.4667,0.1789,2.6756
What tuition assistance or learning stipend is available?,tuition assistance learning stipend available,"Employees can claim up to $1,000 per year for job-related certifications, courses, and educational workshops.",EmployeeBenefits.pdf,EmployeeBenefits.pdf|Company Training Period Policy.docx|Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf,0.3423|0.2817|0.2652|0.2632|0.263,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99887, Requested 701. Please try again in 8m28.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0041,0.0222,2.4855,0.207,2.7188
Is life insurance provided by the employer?,life insurance provided employer,Group life insurance coverage equal to 2x annual base salary is provided to all permanent staff.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf,0.6155|0.5037|0.4369|0.4059|0.4049,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 825. Please try again in 10m11.712s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0034,0.0144,2.5384,0.1762,2.7325
